id,from,to,priority,type,shape,spreadType
699676368,6570392604,6570392597,3,highway.residential,"5447.67,2047.19 5477.61,2046.61 5499.34,2045.86",
699676378,6570392630,6570392629,3,highway.residential,"5504.98,2223.70 5477.07,2225.22 5463.28,2225.97 5447.49,2226.83",
699676382,6570392641,cluster_6274370099_6570392639,3,highway.residential,"5433.37,2168.63 5431.43,2147.57 5428.73,2118.51 5454.76,2116.57",
699676385,6570392651,6570392650,3,highway.residential,"5451.92,2088.73 5423.93,2090.56 5401.84,2092.00",
699691142,6570524675,6595812561,5,highway.tertiary_link,"4564.03,2279.73 4563.62,2271.67 4567.51,2268.85 4572.29,2268.24 4576.78,2269.98 4579.87,2273.65 4582.97,2295.83",center
699691144#0,6570524708,cluster_6570524706_6570524707,3,highway.residential,"4837.79,2725.75 4634.82,2703.32",
699691940#10,278877775,699691940#10-AddedOffRampNode,10,highway.tertiary,"4562.35,2251.54 4390.75,2231.63 4295.73,2220.94",center
699691940#10-AddedOffRampEdge,699691940#10-AddedOffRampNode,8047385619,10,highway.tertiary,"4295.91,2219.35 4196.54,2208.17",center
699691940#6-AddedOffRampEdge,699691940#6-AddedOffRampNode,8047385596,10,highway.tertiary,"4838.72,2278.31 4739.23,2268.21",center
699691940#8-AddedOnRampEdge,8047385604,699691940#8-AddedOnRampNode,10,highway.tertiary,"4698.06,2264.02 4598.57,2253.92",center
699691945#1,cluster_8574575726_8574575729_8574575735_8574575737,8574575734,10,highway.tertiary,"5400.93,2291.84 5406.27,2292.02 5443.65,2287.71 5482.44,2283.23 5509.96,2280.06 5554.39,2274.94 5561.67,2273.89 5564.31,2273.25 5566.91,2272.44 5570.35,2271.03 5573.64,2269.31 5576.74,2267.28 5579.65,2264.96",center
699693682#0,8574575727,6569939669,10,highway.tertiary,"5582.18,2281.51 5575.10,2281.38 5569.45,2281.70 5562.81,2282.07 5542.75,2284.18",center
699693682#1,6569939669,6569939668,10,highway.tertiary,"5542.75,2284.18 5485.36,2290.48 5456.89,2293.61 5437.33,2295.76",center
699693682#3,6569939668,cluster_8574575726_8574575729_8574575735_8574575737,10,highway.tertiary,"5437.33,2295.76 5409.73,2298.78 5404.85,2299.59 5400.06,2300.73",center
699695781#0,295809254,457838710,3,highway.residential,"3237.19,3817.67 3236.66,3813.94 3222.53,3716.27 3215.34,3668.56 3199.61,3561.24 3198.58,3550.31 3198.44,3539.35 3199.19,3528.40 3200.82,3517.55 3248.44,3274.98",
